user_id,bill_month,due_date,paid_date,amount_due,amount_paid,provider,status,source_type
u001,2026-02,2026-02-15,2026-02-13,860,860,Bihar Electricity,PAID,synthetic
u001,2026-03,2026-03-15,2026-03-14,910,910,Bihar Electricity,PAID,synthetic
u001,2026-04,2026-04-15,2026-04-14,870,870,Bihar Electricity,PAID,synthetic
u001,2026-05,2026-05-15,2026-05-13,940,940,Bihar Electricity,PAID,synthetic
u001,2026-06,2026-06-15,2026-06-15,990,990,Bihar Electricity,PAID,synthetic
u001,2026-07,2026-07-15,2026-07-14,960,960,Bihar Electricity,PAID,synthetic
u002,2026-02,2026-02-12,2026-02-23,720,720,MP Electricity,PAID,synthetic
u002,2026-03,2026-03-12,,780,0,MP Electricity,MISSED,synthetic
u002,2026-04,2026-04-12,2026-04-21,760,400,MP Electricity,PARTIAL,synthetic
u002,2026-05,2026-05-12,2026-05-19,810,810,MP Electricity,PAID,synthetic
u002,2026-06,2026-06-12,,790,0,MP Electricity,MISSED,synthetic
u002,2026-07,2026-07-12,2026-07-24,840,840,MP Electricity,PAID,synthetic
u003,2026-02,2026-02-18,2026-02-17,1220,1220,KSEB,PAID,synthetic
u003,2026-03,2026-03-18,2026-03-16,1190,1190,KSEB,PAID,synthetic
u003,2026-04,2026-04-18,2026-04-16,1260,1260,KSEB,PAID,synthetic
u003,2026-05,2026-05-18,2026-05-17,1310,1310,KSEB,PAID,synthetic
u003,2026-06,2026-06-18,2026-06-17,1280,1280,KSEB,PAID,synthetic
u003,2026-07,2026-07-18,2026-07-17,1250,1250,KSEB,PAID,synthetic
u004,2026-02,2026-02-17,2026-02-20,1080,1080,MSEDCL,PAID,synthetic
u004,2026-03,2026-03-17,2026-03-19,1150,1150,MSEDCL,PAID,synthetic
u004,2026-04,2026-04-17,2026-04-23,1040,1040,MSEDCL,PAID,synthetic
u004,2026-05,2026-05-17,2026-05-26,1210,700,MSEDCL,PARTIAL,synthetic
u004,2026-06,2026-06-17,2026-06-18,1130,1130,MSEDCL,PAID,synthetic
u004,2026-07,2026-07-17,2026-07-23,1170,1170,MSEDCL,PAID,synthetic
u005,2026-02,2026-02-14,2026-02-12,980,980,JVVNL,PAID,synthetic
u005,2026-03,2026-03-14,2026-03-13,1010,1010,JVVNL,PAID,synthetic
u005,2026-04,2026-04-14,2026-04-14,1040,1040,JVVNL,PAID,synthetic
u005,2026-05,2026-05-14,2026-05-13,1080,1080,JVVNL,PAID,synthetic
u005,2026-06,2026-06-14,2026-06-13,1050,1050,JVVNL,PAID,synthetic
u005,2026-07,2026-07-14,2026-07-13,1070,1070,JVVNL,PAID,synthetic
u006,2026-02,2026-02-16,2026-02-25,1800,1800,APCPDCL,PAID,synthetic
u006,2026-03,2026-03-16,2026-03-22,2050,2050,APCPDCL,PAID,synthetic
u006,2026-04,2026-04-16,2026-04-26,2210,1100,APCPDCL,PARTIAL,synthetic
u006,2026-05,2026-05-16,2026-05-23,1980,1980,APCPDCL,PAID,synthetic
u006,2026-06,2026-06-16,2026-06-28,2400,2400,APCPDCL,PAID,synthetic
u006,2026-07,2026-07-16,2026-07-25,2150,2150,APCPDCL,PAID,synthetic
u007,2026-02,2026-02-20,2026-02-20,520,520,MP Electricity,PAID,synthetic
u007,2026-03,2026-03-20,2026-03-19,510,510,MP Electricity,PAID,synthetic
u007,2026-04,2026-04-20,2026-04-21,550,550,MP Electricity,PAID,synthetic
u007,2026-05,2026-05-20,2026-05-20,530,530,MP Electricity,PAID,synthetic
u007,2026-06,2026-06-20,2026-06-21,570,570,MP Electricity,PAID,synthetic
u007,2026-07,2026-07-20,2026-07-20,560,560,MP Electricity,PAID,synthetic
u008,2026-02,2026-02-15,2026-02-12,1650,1650,WBSEDCL,PAID,synthetic
u008,2026-03,2026-03-15,2026-03-13,1590,1590,WBSEDCL,PAID,synthetic
u008,2026-04,2026-04-15,2026-04-14,1720,1720,WBSEDCL,PAID,synthetic
